county,cases,deaths,date_index_converted,county_data_length,core_jaccard,core_cosine,core_intersection,social_jaccard,politics_jaccard,politics_democratic_love_jaccard,nationalistic_jaccard,politics_republican_hate_jaccard,entertainment_jaccard,sports_jaccard,race_jaccard,economy_jaccard,foreign_jaccard,religion_jaccard,health_jaccard,politics_republican_love_jaccard,health_technology_jaccard,politics_democratic_hate_jaccard,domestic_jaccard,illness_jaccard,ideology_jaccard,education_jaccard,gender_jaccard,social_cosine,politics_cosine,politics_democratic_love_cosine,nationalistic_cosine,politics_republican_hate_cosine,entertainment_cosine,sports_cosine,race_cosine,economy_cosine,foreign_cosine,religion_cosine,health_cosine,politics_republican_love_cosine,health_technology_cosine,politics_democratic_hate_cosine,domestic_cosine,illness_cosine,ideology_cosine,education_cosine,gender_cosine,social_intersection,politics_intersection,politics_democratic_love_intersection,nationalistic_intersection,politics_republican_hate_intersection,entertainment_intersection,sports_intersection,race_intersection,economy_intersection,foreign_intersection,religion_intersection,health_intersection,politics_republican_love_intersection,health_technology_intersection,politics_democratic_hate_intersection,domestic_intersection,illness_intersection,ideology_intersection,education_intersection,gender_intersection,core_jaccard_normalized,core_cosine_normalized,core_intersection_normalized,ideology_jaccard_normalized,race_jaccard_normalized,economy_jaccard_normalized,sports_jaccard_normalized,foreign_jaccard_normalized,domestic_jaccard_normalized,nationalistic_jaccard_normalized,politics_democratic_love_jaccard_normalized,health_technology_jaccard_normalized,education_jaccard_normalized,gender_jaccard_normalized,religion_jaccard_normalized,social_jaccard_normalized,politics_republican_love_jaccard_normalized,politics_jaccard_normalized,entertainment_jaccard_normalized,politics_republican_hate_jaccard_normalized,politics_democratic_hate_jaccard_normalized,health_jaccard_normalized,illness_jaccard_normalized,ideology_cosine_normalized,race_cosine_normalized,economy_cosine_normalized,sports_cosine_normalized,foreign_cosine_normalized,domestic_cosine_normalized,nationalistic_cosine_normalized,politics_democratic_love_cosine_normalized,health_technology_cosine_normalized,education_cosine_normalized,gender_cosine_normalized,religion_cosine_normalized,social_cosine_normalized,politics_republican_love_cosine_normalized,politics_cosine_normalized,entertainment_cosine_normalized,politics_republican_hate_cosine_normalized,politics_democratic_hate_cosine_normalized,health_cosine_normalized,illness_cosine_normalized,ideology_intersection_normalized,race_intersection_normalized,economy_intersection_normalized,sports_intersection_normalized,foreign_intersection_normalized,domestic_intersection_normalized,nationalistic_intersection_normalized,politics_democratic_love_intersection_normalized,health_technology_intersection_normalized,education_intersection_normalized,gender_intersection_normalized,religion_intersection_normalized,social_intersection_normalized,politics_republican_love_intersection_normalized,politics_intersection_normalized,entertainment_intersection_normalized,politics_republican_hate_intersection_normalized,politics_democratic_hate_intersection_normalized,health_intersection_normalized,illness_intersection_normalized,total_pop,percent_25_34,percent_highschool,labor_force_rate,unemployment_rate,median_housing_cost,median_household_earnings,median_worker_earnings,percent_insured,percent_married,poverty_rate,median_property_value,percent_white
Butler,0,0,day_21,720,0,0,0,4.66E-05,4.58E-05,6.04E-05,0,0,3.19E-05,5.76E-06,0.000245726,7.34E-05,0,0,0,0.000274471,1.26E-05,0,4.74E-05,3.11E-05,0,2.31E-05,0,0.000350195,0.000225721,0.000409561,0,0,0.000448531,8.95E-05,0.000658808,0.000670277,0,0,0,0.001151298,0.000132425,0,0.000501942,0.000142361,0,0.000105291,0,0.011111111,0.004166667,0.002777778,0,0,0.011111111,0.001388889,0.002777778,0.009722222,0,0,0,0.005555556,0.001388889,0,0.011111111,0.004166667,0,0.001388889,0,0,0,0,0,0.085780723,0.019688677,0.002749189,0,0.0055695,0,0.02402217,0.0028476,0.0054516,0,0,0.010951,0.023055564,0.00559273,0.022162489,0,0,0,0.020891594,0,0.084529971,0.015708659,0.005423659,0,0.007661812,0,0.027667974,0.00555554,0.004536075,0,0,0.005368388,0.029125791,0.005989055,0.018772264,0,0,0,0.012935282,0,0.088888896,0.019907407,0.002726338,0,0.005555556,0,0.023730161,0.002777778,0.005555556,0,0,0.011111111,0.022222224,0.005530303,0.022222222,0,0,0,0.021379783,372538,11.6,90.1,64.7,5.4,967,57540,29969,93.2,49.9,12.9,162300,0.8535435
Clark,0,0,day_70,492,2.34E-05,0.00011452,0.00203252,8.65E-06,0,0,0,0,1.74E-05,8.43E-06,0,0,0,2.71E-05,0,0,1.85E-05,0,0,1.55E-05,0,0,0,0.000132587,0,0,0,0,0.000216527,0.000130926,0,0,0,0.000167072,0,0,0.000193793,0,0,0.000103319,0,0,0,0.00203252,0,0,0,0,0.006097561,0.00203252,0,0,0,0.00203252,0,0,0.00203252,0,0,0.00203252,0,0,0,0.010037297,0.006258564,0.0101626,0,0,0,0.004023553,0,0,0,0,0.004181,0,0,0.009206821,0.00203275,0,0,0.012088631,0,0,0,0.010412209,0,0,0,0.007934056,0,0,0,0,0.008130072,0,0,0.010070301,0.00203252,0,0,0.009062254,0,0,0,0.009387826,0,0,0,0.003989761,0,0,0,0,0.00406504,0,0,0.00914634,0.00203252,0,0,0.012195122,0,0,0,0.01042916,136827,11.4,87.2,60.6,7.7,736,43625,25300,92.7,48.1,16.6,107300,0.865754132
Madison,105,6,day_95,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36E-05,0,1.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000666757,0,0.000229064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006993007,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0.0017625,0,0,0.014373599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00349651,0,0,0.027972025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001748252,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,43456,13.3,86.6,55.8,5.4,931,57406,30673,92.3,46.6,10.2,156700,0.904852282
Columbiana,0,0,day_31,159,0.000147984,0.001227547,0.012578616,0,0.000342594,0,0.000344684,0,0,5.17E-05,0,0,0,0.00045495,0,0,5.72E-05,0,0,9.75E-05,0,0,0,0,0.001327928,0,0.000888101,0,0,0.000570524,0,0,0,0.001645014,0,0,0.000599662,0,0,0.001107485,0,0,0,0,0.031446541,0,0.012578616,0,0,0.012578616,0,0,0,0.037735849,0,0,0.006289308,0,0,0.012578616,0,0,0,0.063476894,0.067085941,0.06289308,0,0,0,0.024675884,0,0,0.066179332,0,0.012927199,0,0,0.154562472,0,0,0.04183484,0,0,0,0,0.065496155,0,0,0,0.034573495,0,0,0.041957485,0,0.025157232,0,0,0.099153573,0,0,0.035233911,0,0,0,0,0.100628896,0,0,0,0.024691357,0,0,0.075471696,0,0.012578616,0,0,0.169811321,0,0,0.041738136,0,0,0,0,0.064542735,105987,11,87.5,58,7.5,656,44497,23781,91.3,52,15.4,104300,0.949781993
Erie,0,0,day_47,77,0,0,0,0,0,0,0,0,0.000149384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001742948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051948052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103784367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072947199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103896104,0,0,0,0,76141,10.9,91.6,62.1,6.5,793,48011,27960,93.1,49.2,13,132400,0.860579283
Clark,14,0,day_86,644,1.83E-05,0.000151537,0.001552795,1.98E-05,0,3.30E-05,0,0,4.45E-06,1.92E-05,0,2.26E-05,0,6.16E-05,0,0,1.40E-05,0,6.66E-06,1.20E-05,0,0,0,0.000261068,0,0.00016189,0,0,4.81E-05,0.000199205,0,0.000171927,0,0.000336073,0,0,0.000104689,0,0.000101727,0.000136716,0,0,0,0.004658385,0,0.001552795,0,0,0.001552795,0.004658385,0,0.00310559,0,0.004658385,0,0,0.001552795,0,0.001552795,0.001552795,0,0,0,0.007849681,0.008281558,0.007763975,0,0,0.006062181,0.009163965,0,0.00078255,0,0.013124696,0.003164,0,0,0.020927681,0.004653,0,0,0.003091633,0,0,0,0.008061065,0,0,0.004029293,0.012071732,0,0.001552795,0,0.010936511,0.00439195,0,0,0.020256872,0.004002097,0,0,0.002013118,0,0,0,0.012422363,0,0,0.006359065,0.009144237,0,0.000776398,0,0.013265306,0.00310559,0,0,0.020962733,0.004658385,0,0,0.00310559,0,0,0,0.00796762,136827,11.4,87.2,60.6,7.7,736,43625,25300,92.7,48.1,16.6,107300,0.865754132
Adams,0,0,day_7,64,0,0,0,0,0,0,0,0,0,0.000583506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009058453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278501482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548938132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276041667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28229,10.5,79,50,7.5,619,35560,19406,89.9,51.1,23.8,98000,0.975112798
Preble,0,0,day_70,49,0.000240096,0.001991633,0.020408163,0,0,0,0,0,5.88E-05,0,0,0,0,0,0,0,0,0,0,0.000158203,0,0,0,0,0,0,0,0,0.001095568,0,0,0,0,0,0,0,0,0,0,0.001796839,0,0,0,0,0,0,0,0,0.020408163,0,0,0,0,0,0,0,0,0,0,0.020408163,0,0,0,0.102987812,0.10884355,0.102040815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040851234,0,0,0,0.106273726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045852554,0,0,0,0.163265349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040816326,0,0,0,0.104717295,41682,10.9,89.4,62.3,5.8,793,47818,26899,93.1,57.4,12.4,116900,0.971762485
Licking,0,0,day_31,469,2.48E-05,0.000147136,0.002132196,9.07E-06,0,4.54E-05,0,0,6.14E-06,0.000106167,0,3.22E-05,0,0,0,0,0,0,4.56E-05,1.64E-05,0,0,0,0.000139089,0,0.000222297,0,0,0.000114462,0.001567706,0,0.000239283,0,0,0,0,0,0,0.000516648,0.000132745,0,0,0,0.002132196,0,0.002132196,0,0,0.002132196,0.025586354,0,0.004264392,0,0,0,0,0,0,0.010660981,0.002132196,0,0,0,0.010637819,0.008041042,0.01066098,0,0,0.008637267,0.05067243,0,0.005358,0,0.0180564,0,0,0,0,0.00213145,0,0,0.004265758,0,0,0,0.011016789,0,0,0.005607853,0.095002271,0,0.007886289,0,0.015017318,0,0,0,0,0.002132194,0,0,0.004790552,0,0,0,0.012061547,0,0,0.00873185,0.050225065,0,0.005330491,0,0.018215046,0,0,0,0,0.002132196,0,0,0.004264392,0,0,0,0.010940612,168693,11.6,90.3,65.3,5.9,935,56549,28528,92.6,53,11.8,157800,0.924055824
Shelby,0,0,day_65,261,0,0,0,0,4.26E-05,0,0,0,0,0,0,0,0,5.18E-05,0,0,0,0,0,0,0,0,0,0,0.000235807,0,0,0,0,0,0,0,0,0.000445393,0,0,0,0,0,0,0,0,0,0,0.003831418,0,0,0,0,0,0,0,0,0.003831418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017598277,0,0,0.005201971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026846159,0,0,0.006256667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241381,0,0,0.005085337,0,0,0,0,0,49067,11.3,90.6,68.1,5.3,776,54550,30213,95.5,56.4,8.9,137800,0.942763077
Marion,0,0,day_5,99,0,0,0,0.000119779,0.000190653,0,0,0,0,0.000161831,0,0,0.000663641,0.000687552,0,0,0,0,0,0,0,0,0,0.000447386,0.000496126,0,0,0,0,0.001601122,0,0,0.001583856,0.001925395,0,0,0,0,0,0,0,0,0,0.03030303,0.02020202,0,0,0,0,0.04040404,0,0,0.060606061,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077240291,0.267202838,0,0,0,0,0,0,0.23358553,0.028148066,0,0.02328102,0,0,0,0,0,0,0,0,0.097027265,0.173463061,0,0,0,0,0,0,0.116053598,0.006858298,0,0.01316371,0,0,0,0,0,0,0,0,0.079311634,0.242424244,0,0,0,0,0,0,0.272727275,0.03030303,0,0.02681359,0,0,0,0,0,65943,13.3,87.1,52.9,7.9,716,42966,21545,92.8,47.8,16.6,93700,0.8982484
Mahoning,294,0,day_85,3271,0.000155972,0.000690856,0.013757261,4.89E-05,1.03E-05,9.51E-05,9.86E-06,2.24E-05,1.75E-05,2.65E-05,3.06E-05,6.15E-05,0,4.08E-06,0,2.98E-05,1.30E-05,0,4.94E-05,0.000143984,0,1.02E-05,1.22E-05,0.000454703,7.19E-05,0.000501677,5.49E-05,0.000128389,0.000209796,0.000326767,9.67E-05,0.000357177,0,2.51E-05,0,0.000116698,5.06E-05,0,0.000530947,0.000829921,0,4.85E-05,6.11E-05,0.011617242,0.000917151,0.004585754,0.000305717,0.001834301,0.006114338,0.006420055,0.000305717,0.008254356,0,0.000305717,0,0.000611434,0.001528585,0,0.011617242,0.018954448,0,0.000611434,0.000305717,0.066903301,0.03775556,0.068786305,0,0.010682183,0.016496644,0.012648181,0,0.0058045,0.00189312,0.037822987,0.002938,0.0024072,0.0044408,0.001386119,0.0114915,0.0025032,0.001257754,0.012158105,0.006092799,0,0,0.096722035,0,0.01240733,0.008370826,0.019801932,0,0.008104554,0.002593698,0.033890889,0.002122789,0.002089444,0.006048592,0.001512908,0.006970465,0.002952252,0.001907723,0.008780543,0.003904377,0,0,0.075408727,0,0.009782944,0.016901777,0.01260233,0,0.005808621,0.001834302,0.039175441,0.00305717,0.002445736,0.004280038,0.001375727,0.011617242,0.002445736,0.00121731,0.012228676,0.006236623,0,0,0.097258069,234550,11.3,90.5,59.3,8.2,681,41375,23802,93.5,44.9,17.6,99300,0.801213679
Lawrence,0,0,day_65,207,0,0,0,0,5.43E-05,0,0,0,6.92E-05,4.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000364144,0,0,0,0.000490101,0.000622374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004830918,0,0,0,0.024154589,0.009661836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019139322,0,0,0,0,0,0,0,0,0,0,0.006630682,0.048076622,0,0,0,0,0,0,0,0.037715581,0,0,0,0,0,0,0,0,0,0,0.009661832,0.020512084,0,0,0,0,0,0,0,0.018965826,0,0,0,0,0,0,0,0,0,0,0.006411946,0.048309178,0,0,0,0,61827,11.8,85.9,53.5,6.5,655,42874,23510,92.2,49.3,18.6,101500,0.954026565
Portage,28,0,day_85,1236,4.70E-05,0.000304914,0.004045307,4.12E-05,8.70E-06,0,0,0,3.94E-05,2.34E-05,0,1.18E-05,0,3.15E-05,0,0,0,0.00011558,6.94E-06,2.49E-05,0,0,0,0.000465051,3.52E-05,0,0,0,0.000386635,0.000242585,0,5.34E-05,0,0.000151927,0,0,0,0.00031734,0.000106007,0.000233965,0,0,0,0.009708738,0.000809061,0,0,0,0.013754045,0.00566343,0,0.001618123,0,0.002427184,0,0,0,0.001618123,0.001618123,0.003236246,0,0,0,0.020160382,0.016663674,0.020226535,0,0,0.00316521,0.011168582,0,0.00081545,0,0,0,0,0,0.010701655,0.009682,0,0.001062374,0.027373106,0,0.01398714,0,0.01672671,0,0,0.001251486,0.014700541,0,0.001618127,0,0,0,0,0,0.009157433,0.007129097,0,0.000933962,0.016181745,0,0.015949077,0,0.021258653,0,0,0.003313299,0.011117103,0,0.000809062,0,0,0,0,0,0.010922328,0.009708738,0,0.001073845,0.02750809,0,0.013754045,0,0.016605656,161897,11.1,91.9,65.5,7.2,896,52552,25904,93.5,46,14.5,152000,0.909877838
